[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User		
Date/Time	10/2/2025 8:08:16 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 3:00:24 PM	1	3	NPOC	5.130	0.01240	NPOC:-0.1251mg/L TN:-0.07135mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 3:04:09 PM	1	4	NPOC	4.587	-0.1195	NPOC:-0.1251mg/L TN:-0.07135mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 3:07:27 PM	1	5	NPOC	4.578	-0.1217	NPOC:-0.1251mg/L TN:-0.07135mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 2:51:39 PM	1	1	TN	0.3267	-0.07667	NPOC:-0.1251mg/L TN:-0.07135mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 2:56:39 PM	1	2	TN	1.488	0.05592	NPOC:-0.1251mg/L TN:-0.07135mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 3:00:24 PM	1	3	TN	0.3340	-0.07583	NPOC:-0.1251mg/L TN:-0.07135mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 3:04:09 PM	1	4	TN	0.4592	-0.06154	NPOC:-0.1251mg/L TN:-0.07135mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 3:15:04 PM	1	1	NPOC	4.388	-0.1678	NPOC:-0.07196mg/L TN:-0.1100mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 3:18:55 PM	1	2	NPOC	4.881	-0.04808	NPOC:-0.07196mg/L TN:-0.1100mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 3:22:45 PM	1	3	NPOC	4.803	-0.06702	NPOC:-0.07196mg/L TN:-0.1100mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 3:26:30 PM	1	4	NPOC	4.516	-0.1367	NPOC:-0.07196mg/L TN:-0.1100mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 3:29:48 PM	1	5	NPOC	4.664	-0.1008	NPOC:-0.07196mg/L TN:-0.1100mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 3:15:04 PM	1	1	TN	0.000	-0.1140	NPOC:-0.07196mg/L TN:-0.1100mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 3:18:55 PM	1	2	TN	0.1051	-0.1020	NPOC:-0.07196mg/L TN:-0.1100mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 3:22:45 PM	1	3	TN	0.4242	-0.06554	NPOC:-0.07196mg/L TN:-0.1100mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 3:26:30 PM	1	4	TN	0.000	-0.1140	NPOC:-0.07196mg/L TN:-0.1100mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 3:37:25 PM	1	1	NPOC	4.691	-0.09423	NPOC:-0.09034mg/L TN:-0.1056mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 3:41:10 PM	1	2	NPOC	4.684	-0.09593	NPOC:-0.09034mg/L TN:-0.1056mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 3:44:55 PM	1	3	NPOC	4.746	-0.08087	NPOC:-0.09034mg/L TN:-0.1056mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 3:37:25 PM	1	1	TN	0.8561	-0.01623	NPOC:-0.09034mg/L TN:-0.1056mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 3:41:10 PM	1	2	TN	0.000	-0.1140	NPOC:-0.09034mg/L TN:-0.1056mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 3:44:55 PM	1	3	TN	0.07030	-0.1059	NPOC:-0.09034mg/L TN:-0.1056mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 3:51:09 PM	1	4	TN	0.1502	-0.09682	NPOC:-0.09034mg/L TN:-0.1056mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 3:58:17 PM	1	1	NPOC	4.480	-0.1455	NPOC:-0.1097mg/L TN:-0.06677mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 4:02:01 PM	1	2	NPOC	4.726	-0.08573	NPOC:-0.1097mg/L TN:-0.06677mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 4:06:39 PM	1	3	NPOC	4.676	-0.09787	NPOC:-0.1097mg/L TN:-0.06677mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 4:10:24 PM	1	4	NPOC	4.990	-0.02160	NPOC:-0.1097mg/L TN:-0.06677mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 4:14:09 PM	1	5	NPOC	4.352	-0.1766	NPOC:-0.1097mg/L TN:-0.06677mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 3:58:17 PM	1	1	TN	0.3430	-0.07481	NPOC:-0.1097mg/L TN:-0.06677mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 4:02:01 PM	1	2	TN	0.000	-0.1140	NPOC:-0.1097mg/L TN:-0.06677mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 4:06:39 PM	1	3	TN	0.5295	-0.05351	NPOC:-0.1097mg/L TN:-0.06677mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 4:10:24 PM	1	4	TN	0.000	-0.1140	NPOC:-0.1097mg/L TN:-0.06677mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 4:14:09 PM	1	5	TN	0.3676	-0.07200	NPOC:-0.1097mg/L TN:-0.06677mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 4:28:38 PM	1	1	NPOC	4.428	-0.1581	NPOC:-0.1758mg/L TN:-0.1072mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 4:32:23 PM	1	2	NPOC	4.348	-0.1775	NPOC:-0.1758mg/L TN:-0.1072mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 4:36:07 PM	1	3	NPOC	4.745	-0.08111	NPOC:-0.1758mg/L TN:-0.1072mg/L	1	50	
