Event,plot,grid,collection_datetime,sample_name,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX,Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU,evacuation_date
TMP,Freshwater,F4,2023-07-10T14:35:00Z,TMP_FW_F4_20230710,0.01429,0.99935,0.018732,0.99977,0.76287,5.62,1.5495,0.93271,0.57849,0.58913,0.427,0.41457,0.41457,0.099218,0.07598,0.0303,0.018548,1.6602,2.7874,0.41856,0.21927,1.4183,1.2637,2023-07-07
TMP,Freshwater,F4,2023-06-07T21:54:00Z,TMP_FW_F4_20230607_1600,0.013879,0.99936,0.017416,0.99988,0.79689,5.1807,1.4751,0.92303,0.5305,0.53982,0.17654,0.1713,0.1713,0.04377,0.034077,0.014628,0.0095213,0.67521,1.1428,0.18436,0.10586,0.58667,0.50279,2023-06-07
TMP,Freshwater,F4,2023-06-07T12:40:00Z,TMP_FW_F4_20230607_1600,0.013879,0.99936,0.017416,0.99988,0.79689,5.1807,1.4751,0.92303,0.5305,0.53982,0.17654,0.1713,0.1713,0.04377,0.034077,0.014628,0.0095213,0.67521,1.1428,0.18436,0.10586,0.58667,0.50279,2023-06-06
TMP,Freshwater,F4,2023-06-07T21:54:00Z,TMP_FW_F4_20230607_0800,0.01351,0.99959,0.017593,0.99983,0.76791,5.1197,1.485,0.92241,0.54828,0.55747,0.28132,0.27349,0.27349,0.070723,0.05495,0.023296999999999998,0.01476,1.0267,1.7455,0.30633,0.17147,0.88562,0.79444,2023-06-07
TMP,Freshwater,F4,2023-06-07T12:40:00Z,TMP_FW_F4_20230607_0800,0.01351,0.99959,0.017593,0.99983,0.76791,5.1197,1.485,0.92241,0.54828,0.55747,0.28132,0.27349,0.27349,0.070723,0.05495,0.023296999999999998,0.01476,1.0267,1.7455,0.30633,0.17147,0.88562,0.79444,2023-06-06
TMP,Freshwater,F6,2023-06-27T15:40:00Z,TMP_FW_F6_20230627,0.013819,0.99917,0.017891,0.9998,0.77242,5.1994,1.5112,0.90975,0.54988,0.56386,0.40841,0.39752,0.39752,0.10141,0.078549,0.032838,0.020816,1.5402,2.5815,0.41979,0.32379,1.2809,1.214,2023-06-23
TMP,Freshwater,H3,2023-06-06T22:00:00Z,TMP_FW_H3_20230606,0.015278,0.9987,0.017709,0.99986,0.86273,5.8886,1.6237,0.90407,0.60809,0.61145,0.125,0.12097,0.12097,0.027535,0.021228,0.0092229,0.0064855,0.64247,1.0173,0.1837,0.11628,0.5915,0.42942,2023-06-05
TMP,Freshwater,H3,2023-06-27T15:08:00Z,TMP_FW_H3_20230627,0.015876,0.99684,0.021337,0.99973,0.74407,6.8562,1.6281,0.91524,0.62431,0.63457,0.17173,0.16626,0.16626,0.034003,0.025048,0.0086746,0.0048528,0.88561,1.436,0.26455,0.16715,0.80833,0.6171,2023-06-23
TMP,Freshwater,H3,2023-06-07T20:54:00Z,TMP_FW_H3_20230607_1600,0.015153,0.9991,0.019534,0.9998,0.77575,6.103,1.596,0.90514,0.59663,0.60684,0.1239,0.12012,0.12012,0.026825,0.020302,0.0078523,0.0048499,0.62539,0.97972,0.1763,0.10206,0.56834,0.42761,2023-06-07
TMP,Freshwater,H3,2023-06-07T12:27:00Z,TMP_FW_H3_20230607_1600,0.015153,0.9991,0.019534,0.9998,0.77575,6.103,1.596,0.90514,0.59663,0.60684,0.1239,0.12012,0.12012,0.026825,0.020302,0.0078523,0.0048499,0.62539,0.97972,0.1763,0.10206,0.56834,0.42761,2023-06-06
