[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	4/29/2025 4:57:23 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	DI	PDX CURB BDOC					-0.1720	0.06581	mg/L	0	8/7/2024 4:33:00 AM	
Unknown	NPOC/TN	4.098.4.33.09	PDX CURB BDOC					1.435	0.6672	mg/L	80	8/7/2024 4:58:17 AM	
Unknown	NPOC/TN	4.098.4.33.10	PDX CURB BDOC					1.374	0.7100	mg/L	81	8/7/2024 5:22:53 AM	
Unknown	NPOC/TN	4.098.4.33.11	PDX CURB BDOC					1.629	0.7403	mg/L	82	8/7/2024 5:47:48 AM	
Unknown	NPOC/TN	4.098.4.33.12	PDX CURB BDOC					1.593	0.5775	mg/L	83	8/7/2024 6:12:51 AM	
Unknown	NPOC/TN	4.099.4.33.01	PDX CURB BDOC					1.297	0.6334	mg/L	84	8/7/2024 6:33:49 AM	
Unknown	NPOC/TN	4.099.4.33.02	PDX CURB BDOC					1.427	0.4914	mg/L	85	8/7/2024 6:55:47 AM	
Unknown	NPOC/TN	4.099.4.33.03	PDX CURB BDOC					1.435	0.5581	mg/L	86	8/7/2024 7:21:06 AM	
Unknown	NPOC/TN	4.100.4.33.01	PDX CURB BDOC					1.453	0.5775	mg/L	87	8/7/2024 7:48:30 AM	
Unknown	NPOC/TN	4.100.4.33.02	PDX CURB BDOC					1.345	0.5995	mg/L	88	8/7/2024 8:14:20 AM	
Unknown	NPOC/TN	4.100.4.33.03	PDX CURB BDOC					1.467	0.5445	mg/L	89	8/7/2024 8:41:51 AM	
Unknown	NPOC/TN	DI	Untitled					-0.1642	0.07074	mg/L	0	8/7/2024 9:03:39 AM	
Unknown	NPOC/TN	Std Chk	Untitled					29.26	2.588	mg/L	90	8/7/2024 9:30:51 AM	
Unknown	NPOC/TN	DI	Untitled					0.07998	0.06911	mg/L	0	8/7/2024 9:52:58 AM	
Unknown	NPOC/TN	4.044.0.10.01	PDX CURB Sensors					0.6736	3.675	mg/L	91	8/7/2024 10:22:08 AM	
Unknown	NPOC/TN	4.044.0.10.02	PDX CURB Sensors					0.9206	3.589	mg/L	92	8/7/2024 11:07:47 AM	
Unknown	NPOC/TN	4.046.0.10.29	PDX CURB Sensors					1.484	2.497	mg/L	93	8/7/2024 11:33:08 AM	
Unknown	NPOC/TN	4.046.0.10.30	PDX CURB Sensors					1.881	2.426	mg/L	1	8/7/2024 11:59:55 AM	
Unknown	NPOC/TN	4.046.0.10.31	PDX CURB Sensors					1.583	2.728	mg/L	2	8/7/2024 12:29:30 PM	
Unknown	NPOC/TN	4.047.0.10.29	PDX CURB Sensors					2.127	1.442	mg/L	3	8/7/2024 12:51:09 PM	
Unknown	NPOC/TN	4.047.0.10.30	PDX CURB Sensors					2.412	1.304	mg/L	4	8/7/2024 1:15:55 PM	
Unknown	NPOC/TN	4.047.0.10.31	PDX CURB Sensors					2.394	1.047	mg/L	5	8/7/2024 1:37:16 PM	
Unknown	NPOC/TN	4.050.0.10.29	PDX CURB Sensors					1.896	1.808	mg/L	6	8/7/2024 2:03:57 PM	
Unknown	NPOC/TN	4.050.0.10.29 dup	PDX CURB Sensors					1.963	1.770	mg/L	7	8/7/2024 2:32:55 PM	
Unknown	NPOC/TN	DI	Untitled					-0.06068	0.07757	mg/L	0	8/7/2024 2:58:53 PM	
Unknown	NPOC/TN	Std Chk	DI					28.57	2.538	mg/L	8	8/7/2024 3:29:01 PM	
Unknown	NPOC/TN	DI	DI					0.01162	0.06403	mg/L	0	8/7/2024 4:03:56 PM	
Unknown	NPOC/TN	20240724 BWP	Anacostia					5.349	0.9211	mg/L	10	8/7/2024 4:32:19 PM	
Unknown	NPOC/TN	20240724 LBC1	Anacostia					5.831	0.6733	mg/L	11	8/7/2024 4:59:15 PM	
Unknown	NPOC/TN	20240724 LB1A	Anacostia					5.992	1.127	mg/L	12	8/7/2024 5:28:28 PM	
Unknown	NPOC/TN	20240724 LB2	Anacostia					3.433	0.4765	mg/L	13	8/7/2024 5:51:08 PM	
Unknown	NPOC/TN	20240724 NEB1	Anacostia					4.538	0.7267	mg/L	14	8/7/2024 6:17:48 PM	
Unknown	NPOC/TN	20240724 NWB1	Anacostia					4.225	0.8138	mg/L	15	8/7/2024 6:46:07 PM	
Unknown	NPOC/TN	20240724 NWB2	Anacostia					3.457	0.6782	mg/L	16	8/7/2024 7:13:08 PM	
Unknown	NPOC/TN	20240724 NWB3	Anacostia					3.631	0.8305	mg/L	17	8/7/2024 7:40:01 PM	
Unknown	NPOC/TN	20240724 NWB4	Anacostia					3.569	0.6562	mg/L	18	8/7/2024 8:05:39 PM	
Unknown	NPOC/TN	20240724 PB1	Anacostia					3.321	0.7205	mg/L	19	8/7/2024 8:33:41 PM	
Unknown	NPOC/TN	DI	Anacostia					-0.1013	0.06929	mg/L	0	8/7/2024 8:54:53 PM	
Unknown	NPOC/TN	Std Chk	Anacostia					28.98	2.530	mg/L	20	8/7/2024 9:25:01 PM	
Unknown	NPOC/TN	DI	Anacostia					0.08857	0.07368	mg/L	0	8/7/2024 9:46:55 PM	
Unknown	NPOC/TN	20240724 QR1	Anacostia					7.269	1.360	mg/L	21	8/7/2024 10:09:43 PM	
Unknown	NPOC/TN	20240724 SC1	Anacostia					5.131	1.217	mg/L	22	8/7/2024 10:34:48 PM	
Unknown	NPOC/TN	20240724 SC2	Anacostia					4.468	0.8677	mg/L	23	8/7/2024 11:03:21 PM	
Unknown	NPOC/TN	20240724 SC3	Anacostia					4.567	1.222	mg/L	24	8/7/2024 11:30:49 PM	
Unknown	NPOC/TN	20240724 SC4	Anacostia					3.104	1.177	mg/L	25	8/7/2024 11:48:06 PM	
Unknown	NPOC/TN	1764A	Rainfall					1.244	0.5172	mg/L	26	8/8/2024 12:13:01 AM	
Unknown	NPOC/TN	1765A	Rainfall					1.867	0.5321	mg/L	27	8/8/2024 12:40:04 AM	
Unknown	NPOC/TN	1767A	Rainfall					1.449	0.3535	mg/L	28	8/8/2024 1:03:40 AM	
Unknown	NPOC/TN	1768A	Rainfall					0.9677	0.4748	mg/L	29	8/8/2024 1:31:14 AM	
Unknown	NPOC/TN	1768A dup	Rainfall					1.003	0.4644	mg/L	30	8/8/2024 1:55:11 AM	
Unknown	NPOC/TN	DI	Rainfall					-0.06486	0.07224	mg/L	0	8/8/2024 2:13:38 AM	
Unknown	NPOC/TN	Std Chk	Rainfall					28.90	2.469	mg/L	31	8/8/2024 2:40:13 AM	
Unknown	NPOC/TN	DI	Rainfall					0.1341	0.06619	mg/L	0	8/8/2024 3:02:29 AM	
Unknown	NPOC/TN	1769A	Rainfall					2.232	0.5828	mg/L	32	8/8/2024 3:29:31 AM	
Unknown	NPOC/TN	1770A	Rainfall					1.858	0.5710	mg/L	33	8/8/2024 3:50:07 AM	
Unknown	NPOC/TN	1771A	Rainfall					0.7585	0.4237	mg/L	34	8/8/2024 4:14:11 AM	
Unknown	NPOC/TN	1772A	Rainfall					0.3005	0.2111	mg/L	35	8/8/2024 4:38:03 AM	
Unknown	NPOC/TN	1792A	Rainfall					0.8701	0.5795	mg/L	36	8/8/2024 5:03:24 AM	
Unknown	NPOC/TN	1793A	Rainfall					0.9769	0.3932	mg/L	37	8/8/2024 5:30:50 AM	
